מילה,הגדרה
פרימיטיבי,"ראשיתי, בשלב מוקדם בהתפתחות הדבר"
פרימיטיביות,"נחשלות, גסות, פשטות, דרגת התפתחות ירודה."
פרינציפ,עיקרון
פרספקטיבה,נקודת מבט.
פתטיות,פתטי – מעורר רחמים נלעג מגוחך.
ציוויליזציוני,טכנולוגי-מדעי
צינית,"הנוהגת בלעגנות מזלזלת, סרקסטית, אירונית."
קוֹרֶלציה,מתאם. יחס גומלין. זיקה.
קואורדינטות,שנתות. קווי הממדים שביחס אליהם מסמנים את מיקומם של נקודות בשטח או במרחב.
קוגניטיבי,הכרתי
קודש,חשיבות דתית. רוממות. עבודת האל.
קולגות,"עמיתים, חברים למקצוע, שותפים למקום עבודה."
קולקטבי,"ציבורי, כללי, משותף."
קומבינציות,שילובים
קומוניקטיבי,משותף
קונטקסט,הקשר
קונסטרוקטיבי,"בונה, יוצר"
קונסטרוקציה,"מבנה, סדר"
קונספטואלי,תפיסתי
קונספציה,"שיטה, תפיסה"
קונפורמיזם,הסתגלות למוסכמות. ציות לנהגים המקובלים. קבלת מרות.
קונקרטי,"מעשי, נקודתי, מסויים, מציאותי"
קוסמולוגיה,תורת העולם כשלמות אחת
קוסמולוגית,"מחשבה קוסמולוגית – תפיסת היקום, ראיית היקום, תורת היקום."
קטב,"רוח ארסי, אויר ממית. (מלבי""ם)"
קטגוריה,"סוג, תבנית-כוללת, טיפוס, זן, מין."
קטגוריות,תבניות
קטגורית,"באופן שאין בו פקפוק. באופן מכריע, מוחלט, ללא סייגים וללא ספקות."
קטטוני,"מצב קטטוני –    בפסיכופאתולוגיה: הסתגרות גלמנית; הפרעה נפשית, שבה מאבד אדם את שליטתו על מערכת השרירים הרצונית וגפיו נשארות בכל מצב שבו הושמו; אחת מצורות הסכיזופרניה."
קטליזטור,זרז
קטסטרופה,אסון
קלגסית,"מלשון קלגס – איש מלחמה, חיל קשוח, איש משטר רודה, קל-גס."
קמאִי,ראשיתי
קרדיט,"אשראי, זכאות"
קריטריון,אמת־מידה להערכה
רבולוציונרי,התנגדותי מהפכני.
רטוריקה,אומנות הדיבור
ריאלי,מציאותי
ריאקציה,תגובת התנגדות.
ריטואל,"הסדר של הפולחן, של עבודת האל"
רלטיביסטיות,"יחסיות. השקפה השוללת את אפשרות ההכרה האובייקטיבית והאמת המוחלטת,    ה""כל יחסי"", וההכרה תלויה ביחס ובנטיות הסובייקטיביות של האיש המכיר אל הדבר המוכר."
רליגיוזי,דתי
רנסס,"תחיה. תקופת התחיה, המעבר בין ימי הביניים לעת החדשה שהתבלטה בהתפתחות המדע והאומנות."
רפורמציה,תנועת שינוי דתית במערב אירופה. שינוי ערכים. שינוי צורה.
רפרפנות,"לגעת ולא לגעת בנושא, שטחיות"
רציונאלי,"רציונלי, הגיוני, הולם את המצב, שמקורו בתבונה, מבוסס."
שוחף,מכה בשחפת.
שחוף,"שבשרו נשחף וכלה ויבש ואין בו כח. (רש""י סוטה כו:) שבשרו נשחף ונפוח. (רש""י דברים כח כב)."
שרירותי,לא מתוך שׂכל
תולדתית,היסטורית
תיאולוגיה,"תורת האלוהות, שיטה דתית, דת | תורת האלהות. תורת האמונה. חקר הדת."
